[epoch 0 iteration 0000]loss 1.626 | overlap 0.041
[epoch 0 iteration 0001]loss 1.621 | overlap 0.091
[epoch 0 iteration 0002]loss 1.612 | overlap 0.075
[epoch 0 iteration 0003]loss 1.615 | overlap 0.081
[epoch 0 iteration 0004]loss 1.587 | overlap 0.084
[epoch 0 iteration 0005]loss 1.557 | overlap 0.109
[epoch 0 iteration 0006]loss 1.621 | overlap 0.069
[epoch 0 iteration 0007]loss 1.564 | overlap 0.122
[epoch 0 iteration 0008]loss 1.577 | overlap 0.088
[epoch 0 iteration 0009]loss 1.584 | overlap 0.097
[epoch 0 iteration 0010]loss 1.594 | overlap 0.075
[epoch 0 iteration 0011]loss 1.543 | overlap 0.131
[epoch 0 iteration 0012]loss 1.557 | overlap 0.134
[epoch 0 iteration 0013]loss 1.589 | overlap 0.078
[epoch 0 iteration 0014]loss 1.590 | overlap 0.100
[epoch 0 iteration 0015]loss 1.554 | overlap 0.100
[epoch 0 iteration 0016]loss 1.554 | overlap 0.103
[epoch 0 iteration 0017]loss 1.532 | overlap 0.128
[epoch 0 iteration 0018]loss 1.553 | overlap 0.116
[epoch 0 iteration 0019]loss 1.568 | overlap 0.075
[epoch 0 iteration 0020]loss 1.532 | overlap 0.128
[epoch 0 iteration 0021]loss 1.574 | overlap 0.081
[epoch 0 iteration 0022]loss 1.571 | overlap 0.116
[epoch 0 iteration 0023]loss 1.570 | overlap 0.122
[epoch 0 iteration 0024]loss 1.541 | overlap 0.144
[epoch 0 iteration 0025]loss 1.553 | overlap 0.106
[epoch 0 iteration 0026]loss 1.517 | overlap 0.181
[epoch 0 iteration 0027]loss 1.562 | overlap 0.119
[epoch 0 iteration 0028]loss 1.540 | overlap 0.131
[epoch 0 iteration 0029]loss 1.546 | overlap 0.112
[epoch 0 iteration 0030]loss 1.525 | overlap 0.175
[epoch 0 iteration 0031]loss 1.544 | overlap 0.125
[epoch 0 iteration 0032]loss 1.544 | overlap 0.144
[epoch 0 iteration 0033]loss 1.543 | overlap 0.150
[epoch 0 iteration 0034]loss 1.538 | overlap 0.144
[epoch 0 iteration 0035]loss 1.504 | overlap 0.169
[epoch 0 iteration 0036]loss 1.515 | overlap 0.150
[epoch 0 iteration 0037]loss 1.532 | overlap 0.163
[epoch 0 iteration 0038]loss 1.500 | overlap 0.163
[epoch 0 iteration 0039]loss 1.513 | overlap 0.156
[epoch 0 iteration 0040]loss 1.502 | overlap 0.200
[epoch 0 iteration 0041]loss 1.513 | overlap 0.166
[epoch 0 iteration 0042]loss 1.491 | overlap 0.259
[epoch 0 iteration 0043]loss 1.556 | overlap 0.128
[epoch 0 iteration 0044]loss 1.538 | overlap 0.131
[epoch 0 iteration 0045]loss 1.562 | overlap 0.141
[epoch 0 iteration 0046]loss 1.511 | overlap 0.181
[epoch 0 iteration 0047]loss 1.509 | overlap 0.153
[epoch 0 iteration 0048]loss 1.510 | overlap 0.187
